House Collection,Self Disposal
171,287
164,257
172,242
175,235
162,290
171,242
167,257
161,278
184,276
213,271
184,259
168,281
169,268
138,232
185,239
168,233
155,265
166,280
142,271
164,247
156,264
147,272
167,263
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
52,90
