Aerosol Can,Air-Conditioners,Backpacks,Baking Glassware,Bedding,Beds,Bedsheets,Beer Bottle,Belts,Biscuit Tin,Biscuits,Blouses,Board Games,Bodywash Bottle,Book,Brochure,Bubble Wrap,CD,CD Case,Calendar,Canned Food Can,Canned Food/Drinks,Car Seats,Carriers,Carton Box,Cassette Tape,Ceramic,Chairs,Clothes Dryers,Coffee Capsules,Computers,Condiment Bottle,Contact Lens Blister,Crockery,Cutlery,Desktop Monitors,Detergent Bottle,Diaper,Disposable Wooden Chopstick,Dolls,Drinking Straw,Egg Tray,Electric Mobility Scooters,Facial Cleanser Bottle,Flyer,Food Jar,Gift Wrapping Paper,Glass Bowl,Glass Cosmetic Bottle,Glass Cup,Glass Drink Bottle,Glass Medicine Bottle,Glass Plate,Greeting Card,Handbags,High Chairs,Instant Noodle Bag,Instant Noodles,Irons,Jam Bottle,Juice Carton,Laptops,Light Bulbs,Long Fluorescent Tubes,Magazine,Magazine Wrapper,Markers,Medicine Blister Pack,Melamine,Metal Bottle Cap,Metal Drink Can,Milk Carton,Mirror,Mobile Telephones,Modems,Namecard,Network Hubs,Newspaper,Ovens,Packet Drink,Paint Container,Pants,Paper Bag,Paper Cup,Paper Envelope,Paper Envelope With Window,Paper Packaging,Paper Plate,Paper Receipt,Paper Towel,Paper Towel Roll,Pencils,Pens,Personal Mobility Devices,Plant,Plastic Bag,Plastic Clothes Hanger,Plastic Cutlery,Plastic Drink Bottle,Plastic Egg Tray,Plastic Film Packaging,Plastic Food Bottle,Plastic Takeaway Container,Potato Chip Bag,Power Assisted Bicycles,Prams,Printed Paper,Printer Ink Cartridge,Printers,Pyrex Glass,Red Packet,Refrigerators,Reusable Bags,Rice,Rice Cookers,Routers,Sandals,Sanitary Pad,Sauce Bottle,Servers,Set-Top Boxes,Shampoo Bottle,Shirts,Shorts,Shredded Paper,Skirts,Slippers,Sofas,Soft Toys,Sports Shoes,Styrofoam,Sunglasses,Switches,Tables,Tablets,Telephone Directory,Televisions,Tissue Box,Tissue Paper,Toasters,Toilet Paper,Toilet Paper Roll,Towels,Toy Cars,Toys,Video Tape,Walkers,Washing Machines,Watches,Wax Paper,Windows,Wine Bottle,Wireless Access Points,Writing Paper
21,1,0,1,1,1,0,25,0,23,2,1,4,24,1,1,1,1,1,1,25,1,1,2,0,2,1,0,4,1,1,0,0,0,1,1,20,5,2,0,1,3,0,20,3,2,0,0,26,0,1,25,1,0,1,3,2,1,0,3,1,1,1,0,0,1,3,3,2,3,1,1,0,1,0,3,2,1,3,0,23,0,3,1,3,0,3,0,2,2,2,1,1,1,0,1,1,1,1,2,1,2,0,2,0,2,2,2,1,1,1,1,1,2,2,7,1,5,0,0,2,21,1,0,1,1,0,8,3,2,2,1,2,2,1,3,1,3,2,0,1,1,1,2,1,2,2,0,2,0,5,3,1,4
26,3,0,0,1,1,0,23,1,25,2,1,3,23,2,3,3,3,1,0,17,2,1,0,2,2,1,0,1,1,1,2,1,2,1,0,21,4,1,2,1,1,1,21,1,3,1,0,23,0,1,23,1,2,1,1,1,1,2,0,2,2,2,1,0,2,0,0,1,0,0,1,1,1,1,1,2,1,3,1,21,1,0,3,2,0,1,1,1,0,0,0,0,0,1,2,1,0,0,0,1,1,2,0,0,0,2,0,1,0,2,2,1,1,0,1,3,1,1,1,5,22,2,2,1,3,3,2,1,1,0,1,1,0,2,4,1,2,3,2,2,0,2,1,2,0,0,2,0,2,2,3,2,1
18,0,1,0,4,2,1,14,0,17,1,2,2,14,3,1,1,0,1,1,26,1,2,2,1,2,0,4,4,4,2,1,2,1,2,2,19,0,0,0,3,1,3,16,1,0,0,0,21,1,1,24,2,0,1,2,1,0,1,2,7,2,1,0,2,2,0,0,2,1,1,1,1,1,1,1,4,2,3,3,13,2,1,1,3,0,2,0,3,2,1,2,5,0,2,2,1,0,0,3,0,1,1,3,0,2,1,0,2,2,1,1,1,3,0,2,0,1,0,1,4,19,1,1,0,1,3,2,1,2,1,1,2,2,2,1,1,2,3,4,2,4,1,0,1,2,3,2,0,1,0,1,2,4
23,1,1,2,3,3,1,17,0,21,2,3,0,23,0,2,0,2,2,0,20,2,2,1,1,3,0,1,1,1,1,0,1,0,1,1,22,0,4,1,0,1,4,24,1,4,2,0,19,1,2,21,0,1,0,1,0,0,2,2,0,0,2,1,2,1,2,2,0,2,1,1,2,0,1,1,1,1,1,2,18,1,1,3,0,2,2,3,2,2,2,3,2,2,4,0,0,1,1,3,2,0,0,1,1,2,1,1,2,0,2,2,0,4,0,1,0,1,1,0,0,21,0,2,1,1,3,1,0,0,1,1,3,0,1,0,0,0,0,1,2,3,0,1,1,2,4,0,2,0,3,2,4,0
24,2,2,1,1,3,0,21,1,22,3,0,0,17,1,0,1,0,2,4,20,5,3,1,1,0,1,1,3,0,1,1,3,2,2,0,18,1,4,2,1,1,2,25,3,2,2,2,28,0,1,16,1,1,1,0,1,0,3,1,1,0,2,1,0,1,3,2,0,1,0,1,2,3,2,1,4,2,0,1,17,3,2,0,2,0,0,2,2,1,0,2,3,2,3,0,1,0,1,2,1,3,1,1,1,3,2,0,4,4,3,2,0,3,3,0,4,0,4,2,0,21,0,1,1,0,3,2,0,2,2,0,0,1,1,1,1,3,3,2,4,2,5,2,2,4,0,2,0,0,1,5,3,2
14,6,0,3,0,5,1,10,0,23,1,1,1,28,1,0,1,1,2,1,15,2,2,0,1,4,0,0,2,3,1,3,2,2,1,1,23,3,1,1,1,1,0,18,0,1,0,0,23,1,0,21,1,2,3,2,2,2,0,1,2,0,0,3,2,2,1,0,2,1,0,3,0,2,1,4,1,1,3,1,18,1,3,2,2,1,3,1,2,1,4,1,0,1,0,0,1,1,1,3,0,2,2,3,2,1,3,3,3,0,1,3,1,2,0,3,0,3,4,5,0,10,1,1,0,2,1,1,1,2,2,0,2,1,0,0,1,1,0,1,2,2,1,2,2,0,0,4,2,1,2,2,2,3
20,2,0,1,1,1,0,17,0,21,4,2,3,27,0,2,1,0,0,2,24,1,1,1,1,0,1,1,0,1,2,1,1,0,1,2,14,3,1,1,1,1,1,15,0,1,0,0,24,0,4,16,5,3,0,3,3,4,0,1,1,4,1,1,5,1,3,3,4,3,2,1,0,2,2,2,0,0,1,1,21,2,1,1,1,3,2,1,0,0,2,1,3,3,2,0,2,0,1,3,1,0,4,0,2,4,1,1,1,0,1,1,5,1,0,3,2,1,2,0,1,24,0,1,1,0,0,1,5,0,1,2,5,0,3,2,1,1,0,0,1,1,0,2,0,3,2,2,2,1,0,1,0,2
17,0,2,0,1,3,0,22,0,22,0,0,5,20,2,1,2,1,2,0,18,2,3,1,0,0,1,2,5,2,0,1,1,2,2,2,21,1,2,1,0,0,4,19,0,6,2,2,21,2,2,20,2,1,2,4,0,2,2,1,2,0,4,1,2,2,0,2,3,0,3,2,1,3,1,2,0,2,1,0,19,0,0,2,0,1,5,1,3,3,0,0,3,0,3,1,4,2,1,1,1,0,2,0,1,0,2,4,4,2,1,1,1,3,2,1,2,0,0,1,4,26,0,2,2,4,0,1,0,0,0,3,1,0,1,2,0,2,0,4,2,2,1,1,1,0,2,2,2,2,2,0,1,2
25,0,1,1,3,2,1,19,1,18,3,2,0,18,3,1,3,0,3,6,18,1,1,4,1,1,2,4,0,2,0,5,0,2,0,1,19,1,0,0,2,1,2,22,3,2,1,1,19,0,1,27,4,0,1,4,1,1,0,0,2,0,0,2,0,2,0,0,2,1,1,0,1,0,0,2,2,3,0,2,27,4,0,0,1,1,3,3,1,1,1,3,1,0,2,3,1,2,3,2,1,2,3,2,1,2,2,4,1,3,3,1,0,4,2,2,3,3,1,1,1,30,1,2,2,2,1,1,1,1,1,0,0,0,2,1,0,1,2,2,2,0,2,3,4,0,5,0,2,2,0,2,1,2
24,3,0,3,2,2,1,21,2,21,1,2,2,22,3,0,2,4,2,0,16,2,3,0,2,2,1,2,3,2,0,0,0,2,0,0,33,1,3,2,0,2,0,27,1,1,2,2,23,2,3,23,3,2,1,2,3,0,1,3,1,2,0,3,1,1,5,0,0,2,6,1,0,3,2,6,1,1,3,0,20,1,2,2,2,1,0,2,4,0,2,0,2,0,3,1,2,5,1,2,1,3,1,0,2,3,1,1,1,1,1,1,2,0,4,2,1,1,1,1,2,26,2,5,0,3,0,0,2,3,1,0,1,2,0,1,1,1,0,1,2,3,0,0,0,3,1,2,1,4,4,1,0,2
