Alba,Alba E-waste Smart Recycling,Ezi,Gee Hoe Seng Pte Ltd,Greensquare,PWC-800 Super,PWC-Alba-WH,PWC-Sembwaste,Passiton.org,Salvation Army,Tidy
25,37,15,22,25,23,14,16,16,23,18
21,18,19,21,21,21,21,18,18,17,20
12,20,19,18,18,17,35,15,13,18,14
29,24,15,21,25,20,24,15,20,16,15
10,28,18,22,25,27,22,17,18,14,18
23,21,20,25,18,21,20,18,13,19,18
17,19,16,22,19,16,20,14,26,22,19
20,15,22,28,17,20,19,26,15,18,17
20,22,21,17,11,29,25,24,12,29,24
28,20,22,19,25,25,22,17,19,17,22
17,22,15,23,23,19,21,20,27,17,22
22,19,24,23,19,17,22,12,19,19,13
27,18,19,18,21,24,16,29,21,22,17
15,23,20,16,20,16,21,19,19,10,15
20,20,18,17,23,25,20,16,18,16,14
22,20,20,17,24,18,22,16,27,20,20
16,28,21,19,19,21,26,25,17,17,17
25,25,24,20,16,16,18,30,16,14,17
21,22,15,24,21,18,14,14,29,13,21
16,23,15,17,20,17,21,16,27,21,23
13,22,13,13,17,23,15,22,15,17,23
18,18,17,18,14,15,19,20,14,21,22
20,20,23,19,20,20,15,17,17,19,19
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
