Alba,Alba E-waste Smart Recycling,Ezi,Gee Hoe Seng Pte Ltd,Greensquare,PWC-800 Super,PWC-Alba-WH,PWC-Sembwaste,Passiton.org,Salvation Army,Tidy
25,37,15,22,25,23,14,16,16,23,18
1,1,1,0,-4,2,1,1,2,0,1
1,0,0,0,-3,1,1,1,1,0,2
0,1,0,0,7,1,1,1,2,0,1
0,0,1,0,0,0,1,0,0,0,1
1,0,0,1,-7,0,0,0,1,0,1
0,0,0,1,1,1,0,0,0,0,1
0,0,0,2,-2,0,0,0,1,0,0
0,0,0,1,-6,0,0,0,0,1,1
0,0,0,0,14,0,0,0,0,1,0
0,0,0,0,-2,0,0,0,0,0,0
0,0,0,0,-4,0,0,0,0,1,0
0,0,0,0,2,0,1,0,0,1,0
1,1,0,0,-1,0,0,0,0,0,0
0,0,0,1,3,0,0,0,1,1,1
0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,-5,0,0,1,0,0,1
0,0,0,0,-3,0,0,0,0,1,1
0,0,0,0,5,0,0,0,0,0,0
0,0,0,0,-1,0,0,0,0,0,0
0,0,1,0,-3,0,0,0,0,0,0
0,0,0,0,-3,0,0,0,0,0,0
0,0,0,0,6,0,0,0,0,0,0
0,0,1,0,-16,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
