Alba,Alba E-waste Smart Recycling,Ezi,Gee Hoe Seng Pte Ltd,Greensquare,PWC-800 Super,PWC-Alba-WH,PWC-Sembwaste,Passiton.org,Salvation Army,Tidy
0,1,0,0,25,1,1,1,2,0,1
1,2,1,0,21,3,2,2,4,0,2
2,2,1,0,18,4,3,3,5,0,4
2,3,1,0,25,5,4,4,7,0,5
2,3,2,0,25,5,5,4,7,0,6
3,3,2,1,18,5,5,4,8,0,7
3,3,2,2,19,6,5,4,8,0,8
3,3,2,4,17,6,5,4,9,0,8
3,3,2,5,11,6,5,4,9,1,9
3,3,2,5,25,6,5,4,9,2,9
3,3,2,5,23,6,5,4,9,2,9
3,3,2,5,19,6,5,4,9,3,9
3,3,2,5,21,6,6,4,9,4,9
4,4,2,5,20,6,6,4,9,4,9
4,4,2,6,23,6,6,4,10,5,10
4,4,2,6,24,6,6,4,10,5,11
4,4,2,6,19,6,6,5,10,5,12
4,4,2,6,16,6,6,5,10,6,13
4,4,2,6,21,6,6,5,10,6,13
4,4,2,6,20,6,6,5,10,6,13
4,4,3,6,17,6,6,5,10,6,13
4,4,3,6,14,6,6,5,10,6,13
4,4,3,6,20,6,6,5,10,6,13
4,4,4,6,4,6,6,5,10,6,13
