2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
25,21,12,29,10,23,17,20,20,28,17,22,27,15,20,22,16,25,21,16,13,18,20,4
37,18,20,24,28,21,19,15,22,20,22,19,18,23,20,20,28,25,22,23,22,18,20,4
15,19,19,15,18,20,16,22,21,22,15,24,19,20,18,20,21,24,15,15,13,17,23,4
22,21,18,21,22,25,22,28,17,19,23,23,18,16,17,17,19,20,24,17,13,18,19,6
25,21,18,25,25,18,19,17,11,25,23,19,21,20,23,24,19,16,21,20,17,14,20,4
23,21,17,20,27,21,16,20,29,25,19,17,24,16,25,18,21,16,18,17,23,15,20,6
14,21,35,24,22,20,20,19,25,22,21,22,16,21,20,22,26,18,14,21,15,19,15,6
16,18,15,15,17,18,14,26,24,17,20,12,29,19,16,16,25,30,14,16,22,20,17,5
16,18,13,20,18,13,26,15,12,19,27,19,21,19,18,27,17,16,29,27,15,14,17,10
23,17,18,16,14,19,22,18,29,17,17,19,22,10,16,20,17,14,13,21,17,21,19,6
18,20,14,15,18,18,19,17,24,22,22,13,17,15,14,20,17,17,21,23,23,22,19,13
