Date,Item,House Collection/ Self Pickup,Organisation,Bin Location
2021-01-01,Biscuit Tin,Self Disposal,Alba E-waste Smart Recycling,
2021-01-01,Glass Medicine Bottle,Self Disposal,,RIPLEY CRESCENT
2021-01-01,Glass Cosmetic Bottle,Self Disposal,,LORONG 15 GEYLANG
2021-01-01,Windows,House Collection,,KIM KEAT ROAD
2021-01-01,Air-Conditioners,Self Disposal,,PINE GROVE
2021-01-01,Beer Bottle,Self Disposal,Ezi,
2021-01-01,Biscuit Tin,House Collection,,GOODLINK PARK
2021-01-01,Paint Container,House Collection,,LORONG BEKUKONG
2021-01-01,Beer Bottle,Self Disposal,,FLOWER ROAD
2021-01-01,Glass Medicine Bottle,Self Disposal,,SELETAR CLUB ROAD
2021-01-01,Facial Cleanser Bottle,Self Disposal,PWC-Sembwaste,
2021-01-01,Aerosol Can,House Collection,,TUAS SOUTH PLACE
2021-01-01,Glass Cosmetic Bottle,Self Disposal,,JALAN PARI BURONG
2021-01-01,Egg Tray,Self Disposal,Alba E-waste Smart Recycling,
2021-01-01,Flyer,Self Disposal,,LORONG PENDEK
2021-01-01,Glass Medicine Bottle,Self Disposal,,BUKIT BATOK CRESCENT
2021-01-01,Facial Cleanser Bottle,Self Disposal,Tidy,
2021-01-01,Tissue Box,Self Disposal,Alba E-waste Smart Recycling,
2021-01-02,Paint Container,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-01-02,Bodywash Bottle,Self Disposal,,GREENWOOD GROVE
2021-01-02,Glass Drink Bottle,Self Disposal,Ezi,
2021-01-02,Paint Container,House Collection,Greensquare,
2021-01-02,Detergent Bottle,House Collection,Alba,
2021-01-02,Writing Paper,Self Disposal,PWC-800 Super,
2021-01-02,Video Tape,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-01-02,Telephone Directory,Self Disposal,,GREENDALE AVENUE
2021-01-02,Printed Paper,House Collection,,CHANGI NORTH RISE
2021-01-02,Beer Bottle,Self Disposal,Passiton.org,
2021-01-02,Writing Paper,Self Disposal,,LORONG 38 GEYLANG
2021-01-03,Shampoo Bottle,House Collection,Greensquare,
2021-01-03,Glass Medicine Bottle,Self Disposal,Passiton.org,
2021-01-03,Biscuit Tin,Self Disposal,PWC-800 Super,
2021-01-03,Paint Container,Self Disposal,,TAMPINES STREET 91
2021-01-03,Aerosol Can,Self Disposal,,COLLEGE ROAD
2021-01-03,Printer Ink Cartridge,House Collection,,SIN MING DRIVE
2021-01-03,Glass Medicine Bottle,Self Disposal,Alba E-waste Smart Recycling,
2021-01-03,Glass Medicine Bottle,Self Disposal,PWC-Sembwaste,
2021-01-03,Bodywash Bottle,Self Disposal,,REDHILL ROAD
2021-01-03,Potato Chip Bag,House Collection,PWC-Alba-WH,
2021-01-03,Glass Medicine Bottle,Self Disposal,,PRINCE GEORGE'S PARK
2021-01-03,Personal Mobility Devices,Self Disposal,Alba E-waste Smart Recycling,
2021-01-03,Metal Bottle Cap,House Collection,Alba,
2021-01-04,Network Hubs,Self Disposal,,WOODLANDS INDUSTRIAL PARK E6
2021-01-04,Routers,House Collection,PWC-Alba-WH,
2021-01-04,Plastic Food Bottle,House Collection,PWC-Alba-WH,
2021-01-04,Walkers,Self Disposal,,LEEDON HEIGHTS
2021-01-04,Wine Bottle,Self Disposal,Passiton.org,
2021-01-04,Bodywash Bottle,Self Disposal,,SIMEI STREET 1
2021-01-04,Canned Food/Drinks,Self Disposal,,NALLUR ROAD
2021-01-04,Paint Container,House Collection,,LORONG 6 REALTY PARK
2021-01-04,Sandals,House Collection,,PASIR RIS COAST INDUSTRIAL PARK 3
2021-01-04,Canned Food Can,Self Disposal,,STRAITS BOULEVARD
2021-01-04,Beds,House Collection,,WESTERHOUT ROAD
2021-01-04,Glass Cosmetic Bottle,Self Disposal,Tidy,
2021-01-04,Aerosol Can,House Collection,,PIONEER TURN
2021-01-04,Shampoo Bottle,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-01-04,Board Games,Self Disposal,Salvation Army,
2021-01-04,Handbags,Self Disposal,Passiton.org,
2021-01-04,Styrofoam,Self Disposal,,WILKIE TERRACE
2021-01-04,Toilet Paper Roll,House Collection,,KAKI BUKIT ROAD 1
2021-01-04,Sanitary Pad,House Collection,,SPRINGWOOD CRESCENT
2021-01-04,Printers,Self Disposal,Passiton.org,
2021-01-04,Paper Envelope,House Collection,,OMAR KHAYYAM AVENUE
2021-01-04,Paint Container,Self Disposal,,EAST SUSSEX LANE
2021-01-04,Paint Container,Self Disposal,PWC-Sembwaste,
2021-01-05,Paper Bag,Self Disposal,Salvation Army,
2021-01-05,Shampoo Bottle,Self Disposal,Tidy,
2021-01-05,Biscuit Tin,Self Disposal,Salvation Army,
2021-01-05,Canned Food Can,Self Disposal,Salvation Army,
2021-01-05,Detergent Bottle,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-01-05,Towels,Self Disposal,Salvation Army,
2021-01-05,Paper Bag,House Collection,Alba,
2021-01-05,Paper Towel Roll,House Collection,,SUNRISE PLACE
2021-01-05,Glass Medicine Bottle,Self Disposal,Passiton.org,
2021-01-05,Refrigerators,House Collection,,FRENCH ROAD
2021-01-05,Detergent Bottle,Self Disposal,,CHANGI SOUTH LANE
2021-01-05,Walkers,Self Disposal,Tidy,
2021-01-06,Prams,Self Disposal,,ANG MO KIO STREET 23
2021-01-06,Rice Cookers,Self Disposal,,WOODLANDS AVENUE 2
2021-01-06,Shampoo Bottle,Self Disposal,,NETHERAVON ROAD
2021-01-06,Ovens,Self Disposal,Alba E-waste Smart Recycling,
2021-01-06,Beer Bottle,Self Disposal,Alba E-waste Smart Recycling,
2021-01-06,Watches,House Collection,,IQBAL AVENUE
2021-01-06,Medicine Blister Pack,Self Disposal,Ezi,
2021-01-06,Printer Ink Cartridge,Self Disposal,,KERONG WALK
2021-01-06,Canned Food Can,House Collection,Greensquare,
2021-01-06,Beer Bottle,Self Disposal,PWC-Sembwaste,
2021-01-06,Glass Cosmetic Bottle,Self Disposal,Alba E-waste Smart Recycling,
2021-01-06,Aerosol Can,Self Disposal,Salvation Army,
2021-01-06,Bodywash Bottle,Self Disposal,,SHEPHERDS DRIVE
2021-01-06,Routers,House Collection,,VISTA TERRACE
2021-01-06,Biscuit Tin,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-01-06,Toys,Self Disposal,Passiton.org,
2021-01-06,Glass Medicine Bottle,House Collection,,GUL LANE
2021-01-06,Glass Medicine Bottle,Self Disposal,PWC-800 Super,
2021-01-06,Shampoo Bottle,Self Disposal,Alba E-waste Smart Recycling,
2021-01-06,Glass Cosmetic Bottle,Self Disposal,Alba E-waste Smart Recycling,
2021-01-06,Glass Medicine Bottle,House Collection,Alba,
2021-01-06,Facial Cleanser Bottle,Self Disposal,,OXLEY GARDEN
2021-01-07,Shampoo Bottle,Self Disposal,,HAIGSVILLE DRIVE
2021-01-07,Diaper,Self Disposal,,YUNNAN ROAD
2021-01-07,Glass Medicine Bottle,House Collection,Greensquare,
2021-01-07,Clothes Dryers,House Collection,,LORONG 1A TOA PAYOH
2021-01-07,Board Games,Self Disposal,Salvation Army,
2021-01-07,Bodywash Bottle,House Collection,Greensquare,
2021-01-07,Bodywash Bottle,Self Disposal,,JALAN SIANTAN
2021-01-07,Instant Noodle Bag,Self Disposal,Tidy,
2021-01-07,Wine Bottle,House Collection,,MARINA COASTAL DRIVE
2021-01-07,Biscuit Tin,House Collection,,CARNATION DRIVE
2021-01-07,Clothes Dryers,House Collection,Alba,
2021-01-07,Canned Food Can,Self Disposal,,WOODLANDS DRIVE 16
2021-01-07,Windows,Self Disposal,Ezi,
2021-01-07,Aerosol Can,Self Disposal,PWC-Sembwaste,
2021-01-07,Canned Food Can,Self Disposal,,JALAN TOA PAYOH
2021-01-07,Wine Bottle,House Collection,,BOON LAY DRIVE
2021-01-07,Facial Cleanser Bottle,Self Disposal,,KAKI BUKIT ROAD 4
2021-01-07,Plastic Cutlery,Self Disposal,,LORONG KILAT
2021-01-07,Detergent Bottle,House Collection,,PASIR RIS ROAD
2021-01-07,Aerosol Can,Self Disposal,Alba E-waste Smart Recycling,
2021-01-07,Beer Bottle,Self Disposal,,ASIMONT LANE
2021-01-07,Toy Cars,Self Disposal,,LINCOLN ROAD
2021-01-08,Paint Container,Self Disposal,,PROME ROAD
2021-01-08,Rice,House Collection,,JURONG WEST AVENUE 3
2021-01-08,Bodywash Bottle,House Collection,,TAMPINES GRANDE
2021-01-08,Biscuit Tin,Self Disposal,Tidy,
2021-01-08,Sanitary Pad,Self Disposal,PWC-Sembwaste,
2021-01-08,Detergent Bottle,House Collection,Greensquare,
2021-01-08,Bodywash Bottle,House Collection,Alba,
2021-01-08,Canned Food Can,Self Disposal,Ezi,
2021-01-08,Paint Container,Self Disposal,PWC-Sembwaste,
2021-01-08,Medicine Blister Pack,Self Disposal,Tidy,
2021-01-08,Writing Paper,House Collection,Greensquare,
2021-01-08,Sofas,House Collection,,HOUGANG AVENUE 6
2021-01-08,Bedding,House Collection,Alba,
2021-01-08,Biscuit Tin,Self Disposal,Salvation Army,
2021-01-08,Aerosol Can,Self Disposal,Alba E-waste Smart Recycling,
2021-01-08,Biscuit Tin,Self Disposal,Alba E-waste Smart Recycling,
2021-01-08,Tablets,Self Disposal,Tidy,
2021-01-09,Bodywash Bottle,Self Disposal,,VENUS ROAD
2021-01-09,Canned Food Can,Self Disposal,PWC-Sembwaste,
2021-01-09,Computers,Self Disposal,,SIGLAP VIEW
2021-01-09,Shredded Paper,Self Disposal,,PASIR RIS STREET 21
2021-01-09,Shampoo Bottle,House Collection,,HOW SUN CLOSE
2021-01-09,Sports Shoes,House Collection,,JALAN KELAWAR
2021-01-09,Shampoo Bottle,Self Disposal,,JALAN LIMBOK
2021-01-09,Paper Towel,House Collection,,COMPUTING DRIVE
2021-01-09,Biscuit Tin,House Collection,,CHUAN TERRACE
2021-01-09,Bodywash Bottle,Self Disposal,,DICKSON ROAD
2021-01-09,Canned Food Can,Self Disposal,,CHOA CHU KANG AVENUE 3
2021-01-09,Beer Bottle,Self Disposal,Tidy,
2021-01-10,Glass Medicine Bottle,Self Disposal,,QUEEN ASTRID GARDENS
2021-01-10,Glass Cosmetic Bottle,Self Disposal,PWC-800 Super,
2021-01-10,Sunglasses,Self Disposal,,STANGEE PLACE
2021-01-10,Canned Food Can,House Collection,,LORONG BUANG KOK
2021-01-10,Jam Bottle,Self Disposal,,WOODLANDS SECTOR 2
2021-01-10,Glass Medicine Bottle,Self Disposal,Alba E-waste Smart Recycling,
2021-01-10,Writing Paper,House Collection,,ZION ROAD
2021-01-10,Detergent Bottle,Self Disposal,,SILAT AVENUE
2021-01-10,Beer Bottle,House Collection,,JURONG WEST STREET 92
2021-01-10,Biscuit Tin,House Collection,,JALAN TARI PAYONG
2021-01-10,Facial Cleanser Bottle,House Collection,,ANCHORVALE WALK
2021-01-10,Glass Cosmetic Bottle,Self Disposal,Salvation Army,
2021-01-10,Tables,Self Disposal,PWC-800 Super,
2021-01-10,Biscuits,Self Disposal,,HOUGANG STREET 51
2021-01-10,Detergent Bottle,Self Disposal,Ezi,
2021-01-11,Board Games,Self Disposal,PWC-800 Super,
2021-01-11,Beer Bottle,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-01-11,Food Jar,Self Disposal,Alba E-waste Smart Recycling,
2021-01-11,Canned Food Can,House Collection,,ST. MICHAEL'S ROAD
2021-01-11,Prams,Self Disposal,Alba E-waste Smart Recycling,
2021-01-11,Biscuit Tin,Self Disposal,PWC-800 Super,
2021-01-11,Canned Food Can,Self Disposal,,JALAN LEGUNDI
2021-01-11,Glass Cosmetic Bottle,Self Disposal,Tidy,
2021-01-11,Facial Cleanser Bottle,House Collection,,JALAN MAS PUTEH
2021-01-11,Blouses,House Collection,,VERDE AVENUE
2021-01-11,Flyer,Self Disposal,Passiton.org,
2021-01-11,Glass Cosmetic Bottle,Self Disposal,Ezi,
2021-01-11,Bodywash Bottle,House Collection,,CANBERRA ROAD
2021-01-11,Biscuit Tin,Self Disposal,,JALAN RENDANG
2021-01-11,Cassette Tape,Self Disposal,PWC-800 Super,
2021-01-12,Aerosol Can,Self Disposal,,STAMFORD ROAD
2021-01-12,Beer Bottle,House Collection,Greensquare,
2021-01-12,Detergent Bottle,Self Disposal,,AUCKLAND ROAD WEST
2021-01-12,Facial Cleanser Bottle,Self Disposal,,MERANTI CRESCENT
2021-01-12,Metal Bottle Cap,Self Disposal,Passiton.org,
2021-01-12,Canned Food Can,House Collection,,SERANGOON LANE
2021-01-12,High Chairs,House Collection,Greensquare,
2021-01-12,Wireless Access Points,Self Disposal,Tidy,
2021-01-12,Plastic Clothes Hanger,House Collection,,NEPAL PARK
2021-01-12,Glass Medicine Bottle,Self Disposal,PWC-800 Super,
2021-01-12,Brochure,Self Disposal,Gee Hoe Seng Pte Ltd,
2021-01-12,Markers,House Collection,,WOODLANDS AVENUE 12
