s/n,Rand 1,Rand 2,Date,Item,House Collection/ Self Pickup,Organisation,Bin Location
1,0.000322422,0.586408839,03/09/2022,Aerosol Can,House Collection,NA,TONG WATT ROAD
2,0.155031159,0.904355975,10/11/2022,Facial Cleanser Bottle,Self Disposal,NA,BULIM LANE 2
3,0.148815403,0.905287141,20/10/2022,Facial Cleanser Bottle,Self Disposal,NA,BULIM DRIVE
4,0.086863134,0.474915789,18/04/2021,Bodywash Bottle,Self Disposal,PWC-800 Super,NA
5,0.207858592,0.862243244,20/06/2022,Glass Cosmetic Bottle,Self Disposal,NA,CLEMENTI CRESCENT
6,0.64959564,0.643599153,23/06/2021,Skirts,House Collection,NA,GENTLE DRIVE
7,0.720608304,0.155293191,02/04/2022,Brochure,Self Disposal,Ezi,NA
8,0.678252154,0.360899604,01/03/2021,Glass Medicine Bottle,Self Disposal,Alba E-waste Smart Recycling,NA
9,0.808208311,0.507967206,27/01/2022,Pants,House Collection,NA,PARK ROAD
10,0.762423842,0.470955196,02/01/2022,Newspaper,Self Disposal,PWC-800 Super,NA
11,0.291029876,0.749725731,25/03/2021,Paint Container,Self Disposal,NA,JALAN GREJA
12,0.8468538,0.752141207,18/06/2021,Toys,House Collection,NA,ALPS AVENUE
13,0.694917122,0.90996437,06/07/2022,Melamine,House Collection,NA,BUKIT BATOK STREET 51
14,0.883067243,0.151920924,14/01/2022,Red Packet,Self Disposal,Ezi,NA
15,0.573915346,0.078611185,20/12/2021,Clothes Dryers,Self Disposal,Passiton.org,NA
16,0.782794956,0.15903901,11/06/2021,Paper Receipt,Self Disposal,Ezi,NA
17,0.298921072,0.889520552,11/05/2021,Paint Container,House Collection,NA,TUAS SOUTH WAY
18,0.901400675,0.123287075,19/09/2021,Namecard,Self Disposal,Salvation Army,NA
19,0.504218647,0.973967512,01/04/2021,Paper Envelope,House Collection,NA,OMAR KHAYYAM AVENUE
20,0.210818897,0.419708844,10/03/2021,Glass Cosmetic Bottle,Self Disposal,PWC-Sembwaste,NA
21,0.314236067,0.461154234,08/02/2021,Paint Container,Self Disposal,PWC-800 Super,NA
22,0.365691861,0.909011923,05/09/2022,Beer Bottle,House Collection,NA,BUKIT BATOK WEST AVENUE 5
23,0.989704537,0.514594249,09/09/2022,Modems,House Collection,NA,HOE CHIANG ROAD
24,0.832532132,0.869179225,21/11/2021,Electric Mobility Scooters,Self Disposal,NA,YUNG HO WALK
25,0.814029118,0.708011649,26/01/2022,Medicine Blister Pack,Self Disposal,NA,TANJONG RHU PLACE
26,0.030972083,0.702534434,14/07/2022,Aerosol Can,House Collection,NA,LORONG 106 CHANGI
27,0.275454912,0.307357247,04/02/2021,Paint Container,House Collection,Alba,NA
28,0.538822537,0.405961572,26/09/2021,Facial Cleanser Bottle,House Collection,PWC-Alba-WH,NA
29,0.001696308,0.372631368,28/07/2021,Aerosol Can,House Collection,PWC-Alba-WH,NA
30,0.328252468,0.593344985,11/09/2021,Shampoo Bottle,House Collection,NA,SWETTENHAM ROAD
31,0.577701698,0.116551939,14/10/2022,Plant,Self Disposal,Salvation Army,NA
32,0.449461538,0.263702259,01/08/2021,Biscuit Tin,Self Disposal,Tidy,NA
33,0.991477799,0.948719781,28/06/2021,Clothes Dryers,House Collection,NA,SEMBAWANG VISTA
34,0.656661815,0.905497778,15/10/2021,Wax Paper,Self Disposal,NA,BULIM STREET
35,0.031799742,0.765260873,25/08/2022,Aerosol Can,Self Disposal,NA,PASIR RIS DRIVE 10
36,0.277489181,0.455273645,18/10/2021,Paint Container,Self Disposal,PWC-800 Super,NA
37,0.212998605,0.790016341,26/07/2021,Glass Cosmetic Bottle,Self Disposal,NA,LIM TECK BOO ROAD
38,0.829879807,0.337487689,20/01/2022,Cutlery,Self Disposal,Alba E-waste Smart Recycling,NA
39,0.088592571,0.360363078,14/11/2022,Bodywash Bottle,Self Disposal,Alba E-waste Smart Recycling,NA
40,0.324390601,0.154022576,23/06/2022,Shampoo Bottle,Self Disposal,Ezi,NA
41,0.650643878,0.1783212,10/10/2022,Tables,Self Disposal,Ezi,NA
42,0.063201684,0.93325707,01/04/2022,Bodywash Bottle,House Collection,NA,SUNGEI KADUT CRESCENT
43,0.116828451,0.214235833,10/10/2021,Detergent Bottle,Self Disposal,Gee Hoe Seng Pte Ltd,NA
