postcode,block_number,latitude,longitude
790407,407,1.38854,103.87505
530312,312,1.36546,103.89425
150076,76,1.28864,103.81634
100108,108,1.28112,103.81003
530303,303,1.368,103.89472
734897,897,1.43566,103.79471
160052,52,1.28708,103.84158
542156,156,1.39201,103.90651
820110,110,1.39591,103.90888
531973,973,1.37803,103.87995
121107,107,1.32213,103.77007
120108,108,1.32212,103.77027
561354,354,1.3644,103.85181
311106,106,1.34058,103.84793
820106,106,1.39639,103.90829
121108,108,1.32226,103.77015
391043,43,1.30844,103.8849
820164,164,1.39573,103.91445
521826,826,1.34919,103.93409
521828,828,1.34911,103.93429
210685,685,1.31401,103.85683
210684,684,1.31431,103.85666
545124,124,1.387,103.90252
461214,214,1.32572,103.93251
311125,125,1.33755,103.84575
142085,85,1.30379,103.79925
790412,412,1.38944,103.87792
546121,121,1.38676,103.90565
310099,99,1.33879,103.84687
672613,613,1.38415,103.76166
672177,177,1.38004,103.76506
312099,99,1.33902,103.84745
682486,486,1.37525,103.73803
162011,11,1.28726,103.83803
121109,109,1.32167,103.77035
821647,647,1.39847,103.91553
820197,197,1.39964,103.9066
551256,256,1.35522,103.87163
820102,102,1.39828,103.90565
140117,117,1.30659,103.80027
160137,137,1.27815,103.82696
680690,690,1.40296,103.75205
680688,688,1.40373,103.75053
641631,631,1.34338,103.69983
645667,667,1.34204,103.70251
330046,46,1.32291,103.86603
680691,691,1.4009,103.75149
154028,28,1.28663,103.80954
471740,740,1.33839,103.9231
671482,482,1.38893,103.77239
651383,383,1.36259,103.75211
540183,183,1.39177,103.90816
640964,964,1.342,103.69265
640962,962,1.34202,103.69148
471742,742,1.33852,103.92235
540159,159,1.38833,103.90756
652622,622,1.35057,103.7483
651388,388,1.36443,103.75233
646517,517,1.34468,103.71977
91004,4,1.30461,103.86473
640649,649,1.33896,103.69703
510623,623,1.37783,103.94236
760290,290,1.43606,103.83616
520454,454,1.3573,103.95501
540161,161,1.38758,103.90863
641627,627,1.34164,103.69895
141107,107,1.30795,103.79964
191462,462,1.30488,103.86077
311195,195,1.3304,103.85858
310101,101,1.33974,103.84726
311101,101,1.3396,103.84761
611184,184,1.33287,103.72189
544116,116,1.38289,103.90244
734895,895,1.43581,103.79213
561325,325,1.36752,103.84689
50336,336,1.28281,103.84271
602318,318,1.34775,103.73084
80020,20,1.27417,103.83964
272004,4,1.31308,103.78758
150077,77,1.28841,103.81694
463509,509,1.33354,103.93042
530304,304,1.36776,103.89555
101086,86,1.277,103.80837
532373,373,1.3622,103.89079
151128,128,1.28329,103.82361
564700,700,1.36973,103.84687
143060,60,1.29294,103.8117
461184,184,1.32613,103.9421
640530,530,1.34853,103.71547
141182,182,1.29547,103.80464
750356,356,1.44953,103.81723
760102,102,1.43062,103.82876
142049,49,1.30043,103.79736
731524,524,1.43323,103.79333
167002,2,1.28661,103.83282
140041,41,1.29864,103.80194
640678,678,1.34538,103.70416
81009,9,1.30333,103.85064
140463,463,1.29997,103.79772
161105,105,1.28066,103.82426
761701,701,1.42996,103.82792
640496,496,1.34999,103.72384
641497,497,1.34941,103.72466
640988,988,1.33615,103.6955
561409,409,1.36246,103.85546
641498,498,1.34921,103.72461
640987,987,1.3369,103.69488
641495,495,1.3495,103.72462
121366,366,1.3128,103.77184
141047,47,1.30079,103.79808
140046,46,1.29845,103.80158
461211,211,1.32555,103.9315
640681,681,1.34414,103.70517
461034,34,1.32417,103.92641
552152,152,1.3698,103.87304
790405,405,1.38927,103.87403
640493,493,1.34899,103.72483
311147,147,1.33466,103.84536
